spmiserver;objectno;description
KPRDCSA01;10250000000060;Tornier BV
KPRDCSA01;10250000000061;Cook Medical LTD
KPRDCSA01;10250000000062;Genzyme Nederland 
KPRDCSA01;10250000000063;Oudshoorn Techniek BV
KPRDCSA01;10250000000064;Blockland BV
KPRDCSA01;10250000000065;Arsis Medical BV
KPRDCSA01;10250000000066;FMH Medical BV
KPRDCSA01;10250000000067;Rofil Medical International NV
KPRDCSA01;10250000000068;Atos Medical 
KPRDCSA01;10250000000069;Spierings Medische Techniek BV
KPRDCSA01;10250000000070;Azimed BV
KPRDCSA01;10250000000071;Laman Bergsma BV Alkmaar
KPRDCSA01;10250000000073;Edwards Lifesciences BV 
KPRDCSA01;10250000000075;Gouwe Instruments BV
KPRDCSA01;10250000000076;"Henry Schein Dental Depot GmbH	 "
KPRDCSA01;10250000000077;W. L. Gore & Associates, Inc.
KPRDCSA01;10250000000078;Bioprof
KPRDCSA01;10250000000080;Coloplast A/S 
KPRDCSA01;10250000000081;Nobel Biocare Benelux BV
KPRDCSA01;10250000000082;Baxter Healthcare BV
KPRDCSA01;10250000000083;Medisch Centrum Alkmaar
KPRDCSA01;10250000000084;ID Medical
KPRDCSA01;10250000000085;Houthoff Buruma
KPRDCSA01;10250000000086;Lips Alkmaar BV
KPRDCSA01;10250000000087;Endocare BV
KPRDCSA01;10250000000088;Carl Zeiss BV
KPRDCSA01;10250000000089;Media-Math Benelux BV
KPRDCSA01;10250000000090;Schinkel Medical NL
KPRDCSA01;10250000000091;Laméris Ootech BV 
KPRDCSA01;10250000000092;Rockmed BV
KPRDCSA01;10250000000093;Trango Medicals BV
KPRDCSA01;10250000000094;Synergy Healthcare BV
KPRDCSA01;10250000000097;MARTIN NEDERLAND
KPRDCSA01;10250000000098;Micro France
KPRDCSA01;10250000000099;Huber Medical
KPRDCSA01;10250000000100;Bard International Inc.
KPRDCSA01;10250000000102;Smith & Nephew
KPRDCSA01;10250000000104;Gimmi
KPRDCSA01;10250000000105;PWS
KPRDCSA01;10250000000110;Bowa
KPRDCSA01;10250000000112;Lawton
KPRDCSA01;10250000000116;Reda
KPRDCSA01;10250000000118;Micro Aire
KPRDCSA01;10250000000119;Maillefer
KPRDCSA01;10250000000120;Dufner
KPRDCSA01;10250000000121;Leibinger
KPRDCSA01;10250000000122;Lubberts
KPRDCSA01;10250000000123;Unknown
KPRDCSA01;10250000000125;Zepf
KPRDCSA01;10250000000127;LM
KPRDCSA01;10250000000129;Stille
KPRDCSA01;10250000000130;Rudolf
KPRDCSA01;10250000000132;Ethicon
KPRDCSA01;10250000000135;Storz
KPRDCSA01;10250000000136;Aesculap
KPRDCSA01;10250000000137;Simal
KPRDCSA01;10250000000138;Martin
KPRDCSA01;10250000000139;Medlane
KPRDCSA01;10250000000141;Nopa
KPRDCSA01;10250000000142;Elcon
KPRDCSA01;10250000000143;S&T
KPRDCSA01;10250000000145;Hifa
KPRDCSA01;10250000000146;Jonckers
KPRDCSA01;10250000000150;Bionx
KPRDCSA01;10250000000151;Moria
KPRDCSA01;10250000000159;Henke-Sass,Wolf
KPRDCSA01;10250000000160;Paul Louis
KPRDCSA01;10250000000161;Haslam
KPRDCSA01;10250000000162;Endovision
KPRDCSA01;10250000000163;Perneel
KPRDCSA01;10250000000165;Berivon
KPRDCSA01;10250000000166;DUMONT
KPRDCSA01;10250000000168;Pilling Europa
KPRDCSA01;10250000000169;Austenal
KPRDCSA01;10250000000170;Concept
KPRDCSA01;10250000000171;HTT
KPRDCSA01;10250000000172;Buxton
KPRDCSA01;10250000000176;Allo pro
KPRDCSA01;10250000000178;Asanus
KPRDCSA01;10250000000185;Katena
KPRDCSA01;10250000000187;Heljestrand
KPRDCSA01;10250000000191;JRI
KPRDCSA01;10250000000193;Down England
KPRDCSA01;10250000000194;Sustomed
KPRDCSA01;10250000000195;Intermedi
KPRDCSA01;10250000000196;Mathys
KPRDCSA01;10250000000198;Snowden Pencer
KPRDCSA01;10250000000199;Codman
KPRDCSA01;10250000000200;Stryker
KPRDCSA01;10250000000202;Medtronic
KPRDCSA01;10250000000203;Kohler
KPRDCSA01;10250000000204;KOROS
KPRDCSA01;10250000000206;Hipp
KPRDCSA01;10250000000207;KLS Martin
KPRDCSA01;10250000000208;Miltex
KPRDCSA01;10250000000209;Acufex
KPRDCSA01;10250000000210;Schully
KPRDCSA01;10250000000211;Comed
KPRDCSA01;10250000000213;Entermed
KPRDCSA01;10250000000216;Landanger
KPRDCSA01;10250000000219;Rhein
KPRDCSA01;10250000000222;EndoGlobe
KPRDCSA01;10250000000224;Linvatec
KPRDCSA01;10250000000227;Mueller
KPRDCSA01;10250000000230;Groupe lepine
KPRDCSA01;10250000000231;Olympus
KPRDCSA01;10250000000234;Arex
KPRDCSA01;10250000000235;Medicon
KPRDCSA01;10250000000237;Dyonics S&N
KPRDCSA01;10250000000238;LUBBERS
KPRDCSA01;10250000000240;markel
KPRDCSA01;10250000000242;Kavo
KPRDCSA01;10250000000244;Ackermann
KPRDCSA01;10250000000247;Geister
KPRDCSA01;10250000000248;Omni-tract
KPRDCSA01;10250000000253;Arthrex
KPRDCSA01;10250000000255;3M
KPRDCSA01;10250000000260;Dimeda
KPRDCSA01;10250000000264;Richards
KPRDCSA01;10250000000268;Heraeus Kulzer
KPRDCSA01;10250000000270;Geuder
KPRDCSA01;10250000000271;Dorc
KPRDCSA01;10250000000273;Krupp
KPRDCSA01;10250000000274;Karl Storz
KPRDCSA01;10250000000275;Grieshaber
KPRDCSA01;10250000000276;Hebu
KPRDCSA01;10250000000284;SWANN MORTON
KPRDCSA01;10250000000286;Lapperre
KPRDCSA01;10250000000287;Difra
KPRDCSA01;10250000000289;Btt
KPRDCSA01;10250000000290;Byron
KPRDCSA01;10250000000292;Explorent
KPRDCSA01;10250000000293;Swann Morton
KPRDCSA01;10250000000294;Markel
KPRDCSA01;10250000000298;STERIMA
KPRDCSA01;10250000000299;Jakoubek
KPRDCSA01;10250000000302;Collin
KPRDCSA01;10250000000304;Devroe
KPRDCSA01;10250000000305;Bissinger
KPRDCSA01;10250000000307;Innomed
KPRDCSA01;10250000000308;Ace Surg
KPRDCSA01;10250000000310;Protek
KPRDCSA01;10250000000313;Beaver
KPRDCSA01;10250000000314;Mouth Prop
KPRDCSA01;10250000000315;Fentex
KPRDCSA01;10250000000319;Bag France
KPRDCSA01;10250000000320;Stuemer
KPRDCSA01;10250000000321;Gesco
KPRDCSA01;10250000000323;Deme
KPRDCSA01;10250000000324;Barette Medical
KPRDCSA01;10250000000328;Schreiber
KPRDCSA01;10250000000330;Duchateau
KPRDCSA01;10250000000337;Tekno
KPRDCSA01;10250000000339;Bittner
KPRDCSA01;10250000000341;Duralex
KPRDCSA01;10250000000343;Besco
KPRDCSA01;10250000000344;Lepine
KPRDCSA01;10250000000345;Chevalier
KPRDCSA01;10250000000346;Delacroix-chevalier
KPRDCSA01;10250000000347;Ash England
KPRDCSA01;10250000000348;Mitutoyo
KPRDCSA01;10250000000349;Pouret
KPRDCSA01;10250000000350;MCRI
KPRDCSA01;10250000000353;Rolan
KPRDCSA01;10250000000356;Claris
KPRDCSA01;10250000000358;Panzer
KPRDCSA01;10250000000359;Maun Industries
KPRDCSA01;10250000000361;Lamoral
KPRDCSA01;10250000000362;Asr
KPRDCSA01;10250000000364;Ustomed
KPRDCSA01;10250000000366;Circon
KPRDCSA01;10250000000367;Medical Z
KPRDCSA01;10250000000371;Aspi Bleu Clair
KPRDCSA01;10250000000375;Mds
KPRDCSA01;10250000000379;Hoffmann
KPRDCSA01;10250000000382;Pentax
KPRDCSA01;10250000000383;MTI
KPRDCSA01;10250000000384;Sicoa
KPRDCSA01;10250000000385;Fehling
KPRDCSA01;10250000000387;Medicare
KPRDCSA01;10250000000388;Thd
KPRDCSA01;10250000000390;Gyneas
KPRDCSA01;10250000000391;Buhler
KPRDCSA01;10250000000392;Scanlan
KPRDCSA01;10250000000395;Duomed
KPRDCSA01;10250000000396;Jakobi
KPRDCSA01;10250000000397;Kmedic
KPRDCSA01;10250000000398;Wisap
KPRDCSA01;10250000000400;AMICO
KPRDCSA01;10250000000402;MASSE
KPRDCSA01;10250000000403;LACROIX
KPRDCSA01;10250000000407;Fp Deker
KPRDCSA01;10250000000410;Harmonic
KPRDCSA01;10250000000411;Speculum Noir
KPRDCSA01;10250000000412;Bien Air
KPRDCSA01;10250000000419;Chompret
KPRDCSA01;10250000000484;onbekend
KPRDCSA01;10250000000488;D Medical
KPRDCSA01;10250000000492;carpule
KPRDCSA01;10250000000499;maquet
KPRDCSA01;10250000000502;Micasept
KPRDCSA01;10250000000505;la cross
KPRDCSA01;10250000000506;fci
KPRDCSA01;10250000000509;A.HEISS
KPRDCSA01;10250000000578;stuemer
KPRDCSA01;10250000000610;medacta
KPRDCSA01;10250000000079;VDB
KPRDCSA01;10250000000106;AS-Medizintechnik
KPRDCSA01;10250000000111;A&E Medical
KPRDCSA01;10250000000126;Ulrich Surgical
KPRDCSA01;10250000000128;Vitalitec USA
KPRDCSA01;10250000000174;Osteo Swiss
KPRDCSA01;10250000000180;John Weiss & Son Ltd
KPRDCSA01;10250000000218;Distribal Repair
KPRDCSA01;10250000000229;Amannmed
KPRDCSA01;10250000000269;Vaassen Sterile Products
KPRDCSA01;10250000000277;Sklar
KPRDCSA01;10250000000280;Tontarra Medizintechnik Gmbh
KPRDCSA01;10250000000401;DePuy Synthes
KPRDCSA01;10250000000452;Stopler
KPRDCSA01;10250000000490;Chirurgical Maintenance
KPRDCSA01;10250000000526;Protheos
KPRDCSA01;10250000000010;Stoepler Instrumenten
KPRDCSA01;10250000000019;Johnson & Johnson Medical NV
